date,regime
2023-12-06,recovery
2023-12-07,recovery
2023-12-08,recovery
2023-12-11,recovery
2023-12-12,recovery
2023-12-13,recovery
2023-12-14,recovery
2023-12-15,recovery
2023-12-18,recovery
2023-12-19,recovery
2023-12-20,recovery
2023-12-21,recovery
2023-12-22,recovery
2023-12-25,recovery
2023-12-26,recovery
2023-12-27,recovery
2023-12-28,recovery
2023-12-29,recovery
2024-01-01,bull
2024-01-02,bull
2024-01-03,bull
2024-01-04,bull
2024-01-05,bull
2024-01-08,bull
2024-01-09,bull
2024-01-10,bull
2024-01-11,bull
2024-01-12,bull
2024-01-15,bull
2024-01-16,bull
2024-01-17,bull
2024-01-18,bull
2024-01-19,bull
2024-01-22,bull
2024-01-23,bull
2024-01-24,bull
2024-01-25,bull
2024-01-26,bull
2024-01-29,bull
2024-01-30,bull
2024-01-31,bull
2024-02-01,bull
2024-02-02,bull
2024-02-05,bull
2024-02-06,bull
2024-02-07,bull
2024-02-08,bull
2024-02-09,bull
2024-02-12,bull
2024-02-13,bull
2024-02-14,bull
2024-02-15,bull
2024-02-16,bull
2024-02-19,bull
2024-02-20,bull
2024-02-21,bull
2024-02-22,bull
2024-02-23,bull
2024-02-26,bull
2024-02-27,bull
2024-02-28,bull
2024-02-29,bull
2024-03-01,bull
2024-03-04,bull
2024-03-05,bull
2024-03-06,bull
2024-03-07,bull
2024-03-08,bull
2024-03-11,bull
2024-03-12,bull
2024-03-13,bull
2024-03-14,bull
2024-03-15,bull
2024-03-18,bull
2024-03-19,bull
2024-03-20,bull
2024-03-21,bull
2024-03-22,bull
2024-03-25,bull
2024-03-26,bull
2024-03-27,bull
2024-03-28,bull
2024-03-29,bull
2024-04-01,bull
2024-04-02,bull
2024-04-03,bull
2024-04-04,bull
2024-04-05,bull
2024-04-08,bull
2024-04-09,bull
2024-04-10,bull
2024-04-11,bull
2024-04-12,bull
2024-04-15,bull
2024-04-16,bull
2024-04-17,bull
2024-04-18,bull
2024-04-19,bull
2024-04-22,bull
2024-04-23,bull
2024-04-24,bull
2024-04-25,bull
2024-04-26,bull
2024-04-29,bull
2024-04-30,bull
2024-05-01,bull
2024-05-02,bull
2024-05-03,bull
2024-05-06,bull
2024-05-07,bull
2024-05-08,bull
2024-05-09,bull
2024-05-10,bull
2024-05-13,bull
2024-05-14,bull
2024-05-15,bull
2024-05-16,bull
2024-05-17,bull
2024-05-20,bull
2024-05-21,bull
2024-05-22,bull
2024-05-23,bull
2024-05-24,bull
2024-05-27,bull
2024-05-28,bull
2024-05-29,bull
2024-05-30,bull
2024-05-31,bull
2024-06-03,bull
2024-06-04,bull
2024-06-05,bull
2024-06-06,bull
2024-06-07,bull
2024-06-10,bull
2024-06-11,bull
2024-06-12,bull
2024-06-13,bull
2024-06-14,bull
2024-06-17,bull
